time	V(vid)	V(vodn)	V(vodp)
1.764212500074775e-003	-1.494023e-001	8.971474e+000	6.503400e-001
1.769095312574775e-003	-1.489217e-001	8.970942e+000	6.511100e-001
1.773978125074775e-003	-1.483009e-001	8.970238e+000	6.521190e-001
1.778860937574775e-003	-1.475405e-001	8.969354e+000	6.533779e-001
1.783743750074775e-003	-1.466412e-001	8.968274e+000	6.549001e-001
1.788626562574775e-003	-1.456040e-001	8.966982e+000	6.567028e-001
1.793509375074774e-003	-1.444297e-001	8.965456e+000	6.588065e-001
1.798392187574774e-003	-1.431195e-001	8.963670e+000	6.612363e-001
1.803275000074774e-003	-1.416745e-001	8.961594e+000	6.640221e-001
1.808157812574774e-003	-1.400963e-001	8.959190e+000	6.671993e-001
1.813040625074774e-003	-1.383861e-001	8.956417e+000	6.708100e-001
1.817923437574774e-003	-1.365458e-001	8.953224e+000	6.749042e-001
1.822806250074774e-003	-1.345769e-001	8.949551e+000	6.795405e-001
1.827689062574774e-003	-1.324814e-001	8.945326e+000	6.847886e-001
1.832571875074774e-003	-1.302612e-001	8.940467e+000	6.907305e-001
1.837454687574774e-003	-1.279183e-001	8.934875e+000	6.974629e-001
1.842337500074773e-003	-1.254551e-001	8.928433e+000	7.051001e-001
1.847220312574773e-003	-1.228738e-001	8.921007e+000	7.137771e-001
1.852103125074773e-003	-1.201769e-001	8.912435e+000	7.236527e-001
1.856985937574773e-003	-1.173669e-001	8.902527e+000	7.349151e-001
1.861868750074773e-003	-1.144464e-001	8.891058e+000	7.477858e-001
1.866751562574773e-003	-1.114182e-001	8.877765e+000	7.625263e-001
1.871634375074773e-003	-1.082851e-001	8.862337e+000	7.794445e-001
1.876517187574773e-003	-1.050501e-001	8.844410e+000	7.989032e-001
1.881400000074773e-003	-1.017163e-001	8.823551e+000	8.213285e-001
1.886282812574772e-003	-9.828667e-002	8.799260e+000	8.472203e-001
1.891165625074772e-003	-9.476458e-002	8.770947e+000	8.771631e-001
