time	V(vid)	V(vod1)	V(vod2)
2.506400000074759e-003	-6.034549e-003	5.063690e+000	4.644368e+000
2.511282812574759e-003	-1.062057e-002	5.222488e+000	4.485513e+000
2.516165625074759e-003	-1.519876e-002	5.380625e+000	4.327283e+000
2.521048437574759e-003	-1.976911e-002	5.538101e+000	4.169680e+000
2.525931250074759e-003	-2.433164e-002	5.694917e+000	4.012702e+000
2.534999330431902e-003	-3.278616e-002	5.983617e+000	3.723605e+000
2.544067410789044e-003	-4.106873e-002	6.259113e+000	3.447590e+000
2.553135491146187e-003	-4.917934e-002	6.521406e+000	3.184657e+000
2.562203571503330e-003	-5.711800e-002	6.770496e+000	2.934806e+000
2.571271651860472e-003	-6.488469e-002	7.006382e+000	2.698038e+000
